full_name_sk,URL,span_crimes,start_crimes,end_crimes,state,state2,victimrace,victimsex,victimagemin,victimagemax,weapon,weapon2,weapon3,victims
Jon Dunkle,https://en.wikipedia.org/wiki/Jon_Dunkle,1981-1985,1981,1985,California,nope,White,Male,12,15,Knife or cutting instrument,nope,nope,4
Paul Durousseau,https://en.wikipedia.org/wiki/Paul_Durousseau,1997-2003,1997,2003,Georgia,Florida,Black,Female,17,26,Strangulation – hanging,nope,nope,7
Walter E. Ellis,https://en.wikipedia.org/wiki/Walter_E._Ellis,1986-2007,1986,2007,Wisconsin,nope,Black,Female,16,41,Strangulation – hanging,nope,nope,7
Joe Michael Ervin,https://en.wikipedia.org/wiki/Joe_Michael_Ervin,1969-1981,1969,1981,Texas,Colorado,in,Female,17,.53,Knife or cutting instrument,nope,nope,7
Gary Evans (serial killer),https://en.wikipedia.org/wiki/Gary_Evans_(serial_killer),1985-1997,1985,1997,New York,nope,White,Male,28,63,"Handgun - pistol, revolver, etc","Firearm, type not stated",Shotgun,5
Richard Evonitz,https://en.wikipedia.org/wiki/Richard_Evonitz,1994-2002,1994,2002,Virginia,South Carolina,White,Female,11,16,Strangulation – hanging,nope,nope,3
Larry Eyler,https://en.wikipedia.org/wiki/Larry_Eyler,1982-1984,1982,1984,Illinois,Indiana,White,Male,14,28,Strangulation – hanging,Knife or cutting instrument,nope,23
Lorenzo Fayne,https://en.wikipedia.org/wiki/Lorenzo_Fayne,1989-1993,1989,1993,Wisconsin,Illinois,Black,in,6,17,Knife or cutting instrument,Strangulation – hanging,nope,6
Wayne Adam Ford,https://en.wikipedia.org/wiki/Wayne_Adam_Ford,1997-1998,1997,1998,California,Nevada,in,Female,22,29,Strangulation – hanging,nope,nope,4
Kendall Francois,https://en.wikipedia.org/wiki/Kendall_Francois,1996-1998,1996,1998,New York,nope,White,Female,25,51,Strangulation – hanging,nope,nope,8
Frankford Slasher,https://en.wikipedia.org/wiki/Frankford_Slasher,1990-1990,1990,1990,Pennsylvania,nope,White,Female,28,68,Knife or cutting instrument,nope,nope,8
John Wayne Gacy,https://en.wikipedia.org/wiki/John_Wayne_Gacy,1967-1978,1967,1978,Illinois,nope,White,Male,14,24,Strangulation – hanging,Knife or cutting instrument,"Personal weapons, includes beating",33
Gerald and Charlene Gallego,https://en.wikipedia.org/wiki/Gerald_and_Charlene_Gallego,1978-1980,1978,1980,California,Nevada,White,Female,13,34,Strangulation – hanging,"Handgun - pistol, revolver, etc","Blunt object - hammer, club, etc",10
Alfred Gaynor,https://en.wikipedia.org/wiki/Alfred_Gaynor,1995-1998,1995,1998,Massachusetts,nope,in,Female,29,45,Strangulation – hanging,nope,nope,9
Kristen Gilbert,https://en.wikipedia.org/wiki/Kristen_Gilbert,1989-1996,1989,1996,Massachusetts,nope,White,Male,35,66,"Narcotics or drugs, sleeping pills",nope,nope,>39
Sean Vincent Gillis,https://en.wikipedia.org/wiki/Sean_Vincent_Gillis,1994-2004,1994,2004,Louisiana,nope,in,Female,29,81,Strangulation – hanging,nope,nope,8
Mark Goudeau,https://en.wikipedia.org/wiki/Mark_Goudeau,2005-2006,2005,2006,Arizona,nope,White,Female,19,38,"Handgun - pistol, revolver, etc",nope,nope,9
Harrison Graham,https://en.wikipedia.org/wiki/Harrison_Graham,1986-1987,1986,1987,Pennsylvania,nope,in,Female,22,33,Strangulation – hanging,nope,nope,7
Robert Hansen,https://en.wikipedia.org/wiki/Robert_Hansen,1971-1983,1971,1983,Alaska,nope,White,Female,17,41,"Handgun - pistol, revolver, etc",Knife or cutting instrument,nope,17
Charles Ray Hatcher,https://en.wikipedia.org/wiki/Charles_Ray_Hatcher,1961-1982,1961,1982,Missouri,California,White,in,4,16,Knife or cutting instrument,Strangulation – hanging,nope,16
Ivan Hill,https://en.wikipedia.org/wiki/Ivan_Hill,1979-1994,1979,1994,California,nope,in,Female,23,37,"Handgun - pistol, revolver, etc",Strangulation – hanging,nope,9
Hillside Strangler,https://en.wikipedia.org/wiki/Hillside_Strangler,1977-1978,1977,1978,California,nope,White,Female,12,27,Strangulation – hanging,nope,nope,12
Gary Hilton,https://en.wikipedia.org/wiki/Gary_Hilton,2007-2008,2007,2008,North Carolina,Georgia,in,in,26,80,Knife or cutting instrument,"Personal weapons, includes beating",nope,6
Raymont Hopewell,https://en.wikipedia.org/wiki/Raymont_Hopewell,1999-2005,1999,2005,Maryland,Baltimore,Black,Female,60,88,Strangulation – hanging,"Personal weapons, includes beating",nope,5
Michael Hughes (serial killer),https://en.wikipedia.org/wiki/Michael_Hughes_(serial_killer),1986-1993,1986,1993,California,nope,in,Female,15,38,Strangulation – hanging,nope,nope,8
I-70 Strangler,https://en.wikipedia.org/wiki/I-70_Strangler,1980-1991,1980,1991,Indiana,Ohio,in,Male,14,42,Strangulation – hanging,nope,nope,12
Charles Jackson (serial killer),https://en.wikipedia.org/wiki/Charles_Jackson_(serial_killer),1975-1982,1975,1982,California,nope,in,Female,11,59,Knife or cutting instrument,nope,nope,8
Keith Hunter Jesperson,https://en.wikipedia.org/wiki/Keith_Hunter_Jesperson,1990-1995,1990,1995,Florida,Oregon,White,Female,21,41,Strangulation – hanging,nope,nope,8
Vincent Johnson,https://en.wikipedia.org/wiki/Vincent_Johnson,1999-2000,1999,2000,New York,nope,Black,Female,21,49,Strangulation – hanging,nope,nope,>5
